date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1981-01-01,1,900532,ET14,20.0,1.4,3.6416667,,,,,74.05979,,,final
1981-01-11,1,900532,ET14,20.0,1.2,4.305,,,,,66.630844,,,final
1981-01-21,1,900532,ET14,20.0,1.3,5.7233334,3.8999999,13.67,,,58.75039,47.67006,,final
1981-02-01,1,900532,ET14,20.0,2.1,11.851666,4.6,21.88,,,42.13233,35.71429,,final
1981-02-11,1,900532,ET14,20.0,26.5,11.213333,29.9,28.788334,,,194.28455,103.29009,,final
1981-02-21,1,900532,ET14,20.0,2.1,8.238334,30.7,31.303333,,,53.63213,98.33808,,final
1981-03-01,1,900532,ET14,20.0,85.75,15.461666,114.35,34.913334,,,443.51224,299.02286,,final
1981-03-11,1,900532,ET14,20.0,25.2,17.291666,113.05,40.991665,,,135.47664,256.67697,,final
1981-03-21,1,900532,ET14,20.0,64.2,22.83,175.15,55.583332,209.75,100.55666,248.65253,297.359,203.44525,final
1981-04-01,1,900532,ET14,20.0,20.3,23.6,109.7,63.721664,228.65,120.515,88.46153,166.90515,186.15305,final
1981-04-11,1,900532,ET14,20.0,16.15,24.23,100.65,70.66,243.59999,140.44,72.35716,139.63785,170.92958,final
1981-04-21,1,900532,ET14,20.0,31.95,26.71,68.399994,74.54,274.25,161.42667,116.52476,92.2806,167.79161,final
1981-05-01,1,900532,ET14,20.0,3.25,31.026667,51.35,81.96667,275.4,180.60167,22.899706,64.79494,151.07622,final
1981-05-11,1,900532,ET14,20.0,5.9,21.058332,41.100002,78.795,254.79999,190.44667,41.829227,55.015217,132.92628,final
1981-05-21,1,900532,ET14,20.0,4.35,25.646667,13.5,77.73167,257.05,207.855,30.509027,22.36145,123.11198,final
1981-06-01,1,900532,ET14,20.0,4.7,31.72,14.95,78.425,176.0,224.11334,26.41612,23.913694,79.0002,final
1981-06-11,1,900532,ET14,20.0,5.65,39.296665,14.699999,96.66334,156.45,246.11833,24.04244,19.377684,64.2924,final
1981-06-21,1,900532,ET14,20.0,35.0,48.926666,45.35,119.94334,127.24999,272.215,74.174805,40.298264,47.706654,final
1981-07-01,1,900532,ET14,20.0,68.6,81.84333,109.25,170.06667,175.54999,330.45834,84.75032,65.26085,53.82188,final
1981-07-11,1,900532,ET14,20.0,88.4,84.69667,192.0,215.46667,247.79999,390.925,104.12873,89.35591,63.850475,final
1981-07-21,1,900532,ET14,20.0,148.6,105.07667,305.6,271.61667,364.45,469.2917,139.53911,112.285355,77.8951,final
1981-08-01,1,900532,ET14,20.0,98.25,89.778336,335.25,279.55167,459.45,528.04333,108.93839,119.574066,87.13176,final
1981-08-11,1,900532,ET14,20.0,82.75,94.445,329.6,289.3,536.3,601.43,88.23973,113.69351,89.26009,final
1981-08-21,1,900532,ET14,20.0,102.05,102.595,283.05,286.81833,634.0,678.37836,99.49348,98.70867,93.506035,final
1981-09-01,1,900532,ET14,20.0,64.75,57.575,249.55,254.61499,694.05,704.23334,111.46624,98.04904,98.56418,final
1981-09-11,1,900532,ET14,20.0,58.0,46.51,224.8,206.68,746.39996,711.44666,122.30635,108.5601,104.8787,final
1981-09-21,1,900532,ET14,20.0,28.55,35.565,151.3,139.65,739.95,698.085,82.706764,108.05393,105.95447,final
1981-10-01,1,900532,ET14,20.0,10.05,12.6883335,96.600006,94.763336,681.39996,628.93,85.08433,101.841034,108.27694,final
