iso3,ADM0_PCODE,ADM0_NAME,pcode,ADM1_NAME,ADM2_PCODE,ADM2_NAME,valid_date,SFED,RP,SFED_BASELINE
ETH,ET,Ethiopia,ET16,Sidama,ET1600,Sidama,2026-05-29,0.0,1-1.5,4.805487263762519e-05
ETH,ET,Ethiopia,ET01,Tigray,ET0107,Mekelle,2026-05-29,0.0,1-1.5,0.0001195461370617646
ETH,ET,Ethiopia,ET01,Tigray,ET0104,Southern,2026-05-29,0.0,1-1.5,0.0001195461370617646
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,2026-05-29,0.0,1-1.5,0.0001195461370617646
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,2026-05-29,0.0,1-1.5,0.0001195461370617646
ETH,ET,Ethiopia,ET01,Tigray,ET0105,Western,2026-05-29,0.0,1-1.5,0.0001195461370617646
ETH,ET,Ethiopia,ET01,Tigray,ET0106,South Eastern,2026-05-29,0.0,1-1.5,0.0001195461370617646
ETH,ET,Ethiopia,ET01,Tigray,ET0103,Eastern,2026-05-29,0.0,1-1.5,0.0001195461370617646
ETH,ET,Ethiopia,ET04,Oromia,ET0404,Jimma,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0410,East Hararge,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0409,West Hararge,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0401,West Wellega,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0408,Arsi,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0403,Ilu Aba Bora,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0407,East Shewa,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0405,West Shewa,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0406,North Shewa (OR),2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0402,East Wellega,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0418,Kelem Wellega,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0411,Bale,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0416,Buno Bedele,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0421,East Bale,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0412,Borena,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0419,Horo Gudru Wellega,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0417,West Arsi,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0413,South West Shewa,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0415,West Guji,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0414,Guji,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET04,Oromia,ET0420,Finfine Special,2026-05-29,0.0029229927,1-1.5,0.002082023656905883
ETH,ET,Ethiopia,ET07,SNNP,ET0701,Guraghe,2026-05-29,0.009955881,1.5-2,0.001683427625473335
ETH,ET,Ethiopia,ET07,SNNP,ET0724,Yem Special,2026-05-29,0.009955881,1.5-2,0.001683427625473335
ETH,ET,Ethiopia,ET07,SNNP,ET0721,Amaro,2026-05-29,0.009955881,1.5-2,0.001683427625473335
ETH,ET,Ethiopia,ET07,SNNP,ET0703,Kembata Tembaro,2026-05-29,0.009955881,1.5-2,0.001683427625473335
